Load_d,bus,p_mw,q_mvar,p_mw_1,q_mvar_1,p_mw_2,q_mvar_2,p_mw_3,q_mvar_3,p_mw_4,q_mvar_4,p_mw_5,q_mvar_5,p_mw_6,q_mvar_6,p_mw_7,q_mvar_7,p_mw_8,q_mvar_8,p_mw_9,q_mvar_9,p_mw_10,q_mvar_10,p_mw_11,q_mvar_11,p_mw_12,q_mvar_12,p_mw_13,q_mvar_13,p_mw_14,q_mvar_14,p_mw_15,q_mvar_15,p_mw_16,q_mvar_16,p_mw_17,q_mvar_17,p_mw_18,q_mvar_18,p_mw_19,q_mvar_19,p_mw_20,q_mvar_20,p_mw_21,q_mvar_21,p_mw_22,q_mvar_22,p_mw_23,q_mvar_23,p_mw_24,q_mvar_24
11,11,0.045,0.03,0.027692307692307693,0.018461538461538463,0.02596153846153846,0.017307692307692305,0.02423076923076923,0.016153846153846154,0.0225,0.015,0.02507142857142857,0.016714285714285713,0.027642857142857143,0.01842857142857143,0.030214285714285714,0.020142857142857143,0.032785714285714286,0.02185714285714286,0.03535714285714286,0.02357142857142857,0.03792857142857143,0.02528571428571429,0.0405,0.027,0.03825,0.0255,0.0405,0.027,0.042749999999999996,0.028499999999999998,0.045,0.03,0.04326923076923077,0.028846153846153844,0.04153846153846154,0.027692307692307693,0.03980769230769231,0.026538461538461535,0.03807692307692308,0.025384615384615384,0.03634615384615385,0.02423076923076923,0.03461538461538461,0.023076923076923075,0.03288461538461539,0.021923076923076924,0.031153846153846153,0.02076923076923077,0.029423076923076923,0.019615384615384614
12,12,0.06,0.035,0.036923076923076927,0.02153846153846154,0.03461538461538461,0.020192307692307693,0.03230769230769231,0.018846153846153846,0.03,0.0175,0.033428571428571426,0.019500000000000003,0.03685714285714286,0.021500000000000002,0.040285714285714286,0.023500000000000004,0.04371428571428572,0.025500000000000005,0.04714285714285714,0.027500000000000004,0.05057142857142858,0.029500000000000005,0.054,0.03150000000000001,0.051,0.029750000000000002,0.054,0.03150000000000001,0.056999999999999995,0.03325,0.06,0.035,0.05769230769230769,0.03365384615384616,0.055384615384615386,0.032307692307692315,0.05307692307692307,0.030961538461538464,0.05076923076923077,0.029615384615384616,0.04846153846153846,0.028269230769230772,0.04615384615384615,0.026923076923076925,0.04384615384615385,0.02557692307692308,0.04153846153846154,0.024230769230769233,0.03923076923076923,0.02288461538461539
13,13,0.06,0.035,0.036923076923076927,0.02153846153846154,0.03461538461538461,0.020192307692307693,0.03230769230769231,0.018846153846153846,0.03,0.0175,0.033428571428571426,0.019500000000000003,0.03685714285714286,0.021500000000000002,0.040285714285714286,0.023500000000000004,0.04371428571428572,0.025500000000000005,0.04714285714285714,0.027500000000000004,0.05057142857142858,0.029500000000000005,0.054,0.03150000000000001,0.051,0.029750000000000002,0.054,0.03150000000000001,0.056999999999999995,0.03325,0.06,0.035,0.05769230769230769,0.03365384615384616,0.055384615384615386,0.032307692307692315,0.05307692307692307,0.030961538461538464,0.05076923076923077,0.029615384615384616,0.04846153846153846,0.028269230769230772,0.04615384615384615,0.026923076923076925,0.04384615384615385,0.02557692307692308,0.04153846153846154,0.024230769230769233,0.03923076923076923,0.02288461538461539
14,14,0.12,0.08,0.07384615384615385,0.04923076923076924,0.06923076923076922,0.04615384615384615,0.06461538461538462,0.043076923076923075,0.06,0.04,0.06685714285714285,0.044571428571428574,0.07371428571428572,0.04914285714285715,0.08057142857142857,0.05371428571428572,0.08742857142857144,0.058285714285714295,0.09428571428571428,0.06285714285714286,0.10114285714285716,0.06742857142857143,0.108,0.07200000000000001,0.102,0.068,0.108,0.07200000000000001,0.11399999999999999,0.076,0.12,0.08,0.11538461538461538,0.07692307692307693,0.11076923076923077,0.07384615384615385,0.10615384615384614,0.07076923076923076,0.10153846153846154,0.06769230769230769,0.09692307692307692,0.06461538461538462,0.0923076923076923,0.061538461538461535,0.0876923076923077,0.05846153846153847,0.08307692307692308,0.055384615384615386,0.07846153846153846,0.05230769230769231
15,15,0.06,0.01,0.036923076923076927,0.006153846153846155,0.03461538461538461,0.005769230769230769,0.03230769230769231,0.005384615384615384,0.03,0.005,0.033428571428571426,0.005571428571428572,0.03685714285714286,0.0061428571428571435,0.040285714285714286,0.006714285714285715,0.04371428571428572,0.007285714285714287,0.04714285714285714,0.007857142857142858,0.05057142857142858,0.00842857142857143,0.054,0.009000000000000001,0.051,0.0085,0.054,0.009000000000000001,0.056999999999999995,0.0095,0.06,0.01,0.05769230769230769,0.009615384615384616,0.055384615384615386,0.009230769230769232,0.05307692307692307,0.008846153846153846,0.05076923076923077,0.008461538461538461,0.04846153846153846,0.008076923076923077,0.04615384615384615,0.007692307692307692,0.04384615384615385,0.0073076923076923084,0.04153846153846154,0.006923076923076923,0.03923076923076923,0.006538461538461539
16,16,0.06,0.02,0.036923076923076927,0.01230769230769231,0.03461538461538461,0.011538461538461537,0.03230769230769231,0.010769230769230769,0.03,0.01,0.033428571428571426,0.011142857142857144,0.03685714285714286,0.012285714285714287,0.040285714285714286,0.01342857142857143,0.04371428571428572,0.014571428571428574,0.04714285714285714,0.015714285714285715,0.05057142857142858,0.01685714285714286,0.054,0.018000000000000002,0.051,0.017,0.054,0.018000000000000002,0.056999999999999995,0.019,0.06,0.02,0.05769230769230769,0.019230769230769232,0.055384615384615386,0.018461538461538463,0.05307692307692307,0.01769230769230769,0.05076923076923077,0.016923076923076923,0.04846153846153846,0.016153846153846154,0.04615384615384615,0.015384615384615384,0.04384615384615385,0.014615384615384617,0.04153846153846154,0.013846153846153847,0.03923076923076923,0.013076923076923078
17,17,0.06,0.02,0.036923076923076927,0.01230769230769231,0.03461538461538461,0.011538461538461537,0.03230769230769231,0.010769230769230769,0.03,0.01,0.033428571428571426,0.011142857142857144,0.03685714285714286,0.012285714285714287,0.040285714285714286,0.01342857142857143,0.04371428571428572,0.014571428571428574,0.04714285714285714,0.015714285714285715,0.05057142857142858,0.01685714285714286,0.054,0.018000000000000002,0.051,0.017,0.054,0.018000000000000002,0.056999999999999995,0.019,0.06,0.02,0.05769230769230769,0.019230769230769232,0.055384615384615386,0.018461538461538463,0.05307692307692307,0.01769230769230769,0.05076923076923077,0.016923076923076923,0.04846153846153846,0.016153846153846154,0.04615384615384615,0.015384615384615384,0.04384615384615385,0.014615384615384617,0.04153846153846154,0.013846153846153847,0.03923076923076923,0.013076923076923078
18,18,0.09,0.04,0.055384615384615386,0.02461538461538462,0.05192307692307692,0.023076923076923075,0.04846153846153846,0.021538461538461538,0.045,0.02,0.05014285714285714,0.022285714285714287,0.055285714285714285,0.024571428571428574,0.06042857142857143,0.02685714285714286,0.06557142857142857,0.029142857142857147,0.07071428571428572,0.03142857142857143,0.07585714285714286,0.03371428571428572,0.081,0.036000000000000004,0.0765,0.034,0.081,0.036000000000000004,0.08549999999999999,0.038,0.09,0.04,0.08653846153846154,0.038461538461538464,0.08307692307692308,0.036923076923076927,0.07961538461538462,0.03538461538461538,0.07615384615384616,0.033846153846153845,0.0726923076923077,0.03230769230769231,0.06923076923076922,0.030769230769230767,0.06576923076923077,0.029230769230769234,0.06230769230769231,0.027692307692307693,0.05884615384615385,0.026153846153846156
19,19,0.09,0.04,0.055384615384615386,0.02461538461538462,0.05192307692307692,0.023076923076923075,0.04846153846153846,0.021538461538461538,0.045,0.02,0.05014285714285714,0.022285714285714287,0.055285714285714285,0.024571428571428574,0.06042857142857143,0.02685714285714286,0.06557142857142857,0.029142857142857147,0.07071428571428572,0.03142857142857143,0.07585714285714286,0.03371428571428572,0.081,0.036000000000000004,0.0765,0.034,0.081,0.036000000000000004,0.08549999999999999,0.038,0.09,0.04,0.08653846153846154,0.038461538461538464,0.08307692307692308,0.036923076923076927,0.07961538461538462,0.03538461538461538,0.07615384615384616,0.033846153846153845,0.0726923076923077,0.03230769230769231,0.06923076923076922,0.030769230769230767,0.06576923076923077,0.029230769230769234,0.06230769230769231,0.027692307692307693,0.05884615384615385,0.026153846153846156
20,20,0.09,0.04,0.055384615384615386,0.02461538461538462,0.05192307692307692,0.023076923076923075,0.04846153846153846,0.021538461538461538,0.045,0.02,0.05014285714285714,0.022285714285714287,0.055285714285714285,0.024571428571428574,0.06042857142857143,0.02685714285714286,0.06557142857142857,0.029142857142857147,0.07071428571428572,0.03142857142857143,0.07585714285714286,0.03371428571428572,0.081,0.036000000000000004,0.0765,0.034,0.081,0.036000000000000004,0.08549999999999999,0.038,0.09,0.04,0.08653846153846154,0.038461538461538464,0.08307692307692308,0.036923076923076927,0.07961538461538462,0.03538461538461538,0.07615384615384616,0.033846153846153845,0.0726923076923077,0.03230769230769231,0.06923076923076922,0.030769230769230767,0.06576923076923077,0.029230769230769234,0.06230769230769231,0.027692307692307693,0.05884615384615385,0.026153846153846156
21,21,0.09,0.04,0.055384615384615386,0.02461538461538462,0.05192307692307692,0.023076923076923075,0.04846153846153846,0.021538461538461538,0.045,0.02,0.05014285714285714,0.022285714285714287,0.055285714285714285,0.024571428571428574,0.06042857142857143,0.02685714285714286,0.06557142857142857,0.029142857142857147,0.07071428571428572,0.03142857142857143,0.07585714285714286,0.03371428571428572,0.081,0.036000000000000004,0.0765,0.034,0.081,0.036000000000000004,0.08549999999999999,0.038,0.09,0.04,0.08653846153846154,0.038461538461538464,0.08307692307692308,0.036923076923076927,0.07961538461538462,0.03538461538461538,0.07615384615384616,0.033846153846153845,0.0726923076923077,0.03230769230769231,0.06923076923076922,0.030769230769230767,0.06576923076923077,0.029230769230769234,0.06230769230769231,0.027692307692307693,0.05884615384615385,0.026153846153846156
22,22,0.09,0.04,0.055384615384615386,0.02461538461538462,0.05192307692307692,0.023076923076923075,0.04846153846153846,0.021538461538461538,0.045,0.02,0.05014285714285714,0.022285714285714287,0.055285714285714285,0.024571428571428574,0.06042857142857143,0.02685714285714286,0.06557142857142857,0.029142857142857147,0.07071428571428572,0.03142857142857143,0.07585714285714286,0.03371428571428572,0.081,0.036000000000000004,0.0765,0.034,0.081,0.036000000000000004,0.08549999999999999,0.038,0.09,0.04,0.08653846153846154,0.038461538461538464,0.08307692307692308,0.036923076923076927,0.07961538461538462,0.03538461538461538,0.07615384615384616,0.033846153846153845,0.0726923076923077,0.03230769230769231,0.06923076923076922,0.030769230769230767,0.06576923076923077,0.029230769230769234,0.06230769230769231,0.027692307692307693,0.05884615384615385,0.026153846153846156
23,23,0.09,0.05,0.055384615384615386,0.03076923076923077,0.05192307692307692,0.028846153846153844,0.04846153846153846,0.026923076923076925,0.045,0.025,0.05014285714285714,0.027857142857142858,0.055285714285714285,0.03071428571428572,0.06042857142857143,0.03357142857142858,0.06557142857142857,0.036428571428571435,0.07071428571428572,0.039285714285714285,0.07585714285714286,0.04214285714285715,0.081,0.045000000000000005,0.0765,0.0425,0.081,0.045000000000000005,0.08549999999999999,0.0475,0.09,0.05,0.08653846153846154,0.04807692307692308,0.08307692307692308,0.046153846153846156,0.07961538461538462,0.04423076923076923,0.07615384615384616,0.04230769230769231,0.0726923076923077,0.04038461538461539,0.06923076923076922,0.038461538461538464,0.06576923076923077,0.03653846153846154,0.06230769230769231,0.03461538461538462,0.05884615384615385,0.032692307692307694
24,24,0.42,0.2,0.25846153846153846,0.12307692307692308,0.24230769230769228,0.11538461538461538,0.22615384615384612,0.1076923076923077,0.21,0.1,0.23399999999999999,0.11142857142857143,0.258,0.12285714285714287,0.28200000000000003,0.1342857142857143,0.306,0.14571428571428574,0.32999999999999996,0.15714285714285714,0.35400000000000004,0.1685714285714286,0.378,0.18000000000000002,0.357,0.17,0.378,0.18000000000000002,0.39899999999999997,0.19,0.42,0.2,0.40384615384615385,0.19230769230769232,0.3876923076923077,0.18461538461538463,0.3715384615384615,0.17692307692307693,0.35538461538461535,0.16923076923076924,0.3392307692307692,0.16153846153846155,0.32307692307692304,0.15384615384615385,0.30692307692307697,0.14615384615384616,0.2907692307692307,0.13846153846153847,0.2746153846153846,0.13076923076923078
25,25,0.42,0.2,0.25846153846153846,0.12307692307692308,0.24230769230769228,0.11538461538461538,0.22615384615384612,0.1076923076923077,0.21,0.1,0.23399999999999999,0.11142857142857143,0.258,0.12285714285714287,0.28200000000000003,0.1342857142857143,0.306,0.14571428571428574,0.32999999999999996,0.15714285714285714,0.35400000000000004,0.1685714285714286,0.378,0.18000000000000002,0.357,0.17,0.378,0.18000000000000002,0.39899999999999997,0.19,0.42,0.2,0.40384615384615385,0.19230769230769232,0.3876923076923077,0.18461538461538463,0.3715384615384615,0.17692307692307693,0.35538461538461535,0.16923076923076924,0.3392307692307692,0.16153846153846155,0.32307692307692304,0.15384615384615385,0.30692307692307697,0.14615384615384616,0.2907692307692307,0.13846153846153847,0.2746153846153846,0.13076923076923078
26,26,0.06,0.025,0.036923076923076927,0.015384615384615385,0.03461538461538461,0.014423076923076922,0.03230769230769231,0.013461538461538462,0.03,0.0125,0.033428571428571426,0.013928571428571429,0.03685714285714286,0.01535714285714286,0.040285714285714286,0.01678571428571429,0.04371428571428572,0.018214285714285718,0.04714285714285714,0.019642857142857142,0.05057142857142858,0.021071428571428574,0.054,0.022500000000000003,0.051,0.02125,0.054,0.022500000000000003,0.056999999999999995,0.02375,0.06,0.025,0.05769230769230769,0.02403846153846154,0.055384615384615386,0.023076923076923078,0.05307692307692307,0.022115384615384617,0.05076923076923077,0.021153846153846155,0.04846153846153846,0.020192307692307693,0.04615384615384615,0.019230769230769232,0.04384615384615385,0.01826923076923077,0.04153846153846154,0.01730769230769231,0.03923076923076923,0.016346153846153847
27,27,0.06,0.025,0.036923076923076927,0.015384615384615385,0.03461538461538461,0.014423076923076922,0.03230769230769231,0.013461538461538462,0.03,0.0125,0.033428571428571426,0.013928571428571429,0.03685714285714286,0.01535714285714286,0.040285714285714286,0.01678571428571429,0.04371428571428572,0.018214285714285718,0.04714285714285714,0.019642857142857142,0.05057142857142858,0.021071428571428574,0.054,0.022500000000000003,0.051,0.02125,0.054,0.022500000000000003,0.056999999999999995,0.02375,0.06,0.025,0.05769230769230769,0.02403846153846154,0.055384615384615386,0.023076923076923078,0.05307692307692307,0.022115384615384617,0.05076923076923077,0.021153846153846155,0.04846153846153846,0.020192307692307693,0.04615384615384615,0.019230769230769232,0.04384615384615385,0.01826923076923077,0.04153846153846154,0.01730769230769231,0.03923076923076923,0.016346153846153847
28,28,0.06,0.02,0.036923076923076927,0.01230769230769231,0.03461538461538461,0.011538461538461537,0.03230769230769231,0.010769230769230769,0.03,0.01,0.033428571428571426,0.011142857142857144,0.03685714285714286,0.012285714285714287,0.040285714285714286,0.01342857142857143,0.04371428571428572,0.014571428571428574,0.04714285714285714,0.015714285714285715,0.05057142857142858,0.01685714285714286,0.054,0.018000000000000002,0.051,0.017,0.054,0.018000000000000002,0.056999999999999995,0.019,0.06,0.02,0.05769230769230769,0.019230769230769232,0.055384615384615386,0.018461538461538463,0.05307692307692307,0.01769230769230769,0.05076923076923077,0.016923076923076923,0.04846153846153846,0.016153846153846154,0.04615384615384615,0.015384615384615384,0.04384615384615385,0.014615384615384617,0.04153846153846154,0.013846153846153847,0.03923076923076923,0.013076923076923078
29,29,0.12,0.07,0.07384615384615385,0.04307692307692308,0.06923076923076922,0.04038461538461539,0.06461538461538462,0.03769230769230769,0.06,0.035,0.06685714285714285,0.03900000000000001,0.07371428571428572,0.043000000000000003,0.08057142857142857,0.04700000000000001,0.08742857142857144,0.05100000000000001,0.09428571428571428,0.05500000000000001,0.10114285714285716,0.05900000000000001,0.108,0.06300000000000001,0.102,0.059500000000000004,0.108,0.06300000000000001,0.11399999999999999,0.0665,0.12,0.07,0.11538461538461538,0.06730769230769232,0.11076923076923077,0.06461538461538463,0.10615384615384614,0.06192307692307693,0.10153846153846154,0.05923076923076923,0.09692307692307692,0.056538461538461544,0.0923076923076923,0.05384615384615385,0.0876923076923077,0.05115384615384616,0.08307692307692308,0.048461538461538466,0.07846153846153846,0.04576923076923078
30,30,0.2,0.6,0.12307692307692308,0.36923076923076925,0.11538461538461538,0.3461538461538461,0.1076923076923077,0.32307692307692304,0.1,0.3,0.11142857142857143,0.3342857142857143,0.12285714285714287,0.3685714285714286,0.1342857142857143,0.40285714285714286,0.14571428571428574,0.43714285714285717,0.15714285714285714,0.4714285714285714,0.1685714285714286,0.5057142857142858,0.18000000000000002,0.54,0.17,0.51,0.18000000000000002,0.54,0.19,0.57,0.2,0.6,0.19230769230769232,0.5769230769230769,0.18461538461538463,0.5538461538461539,0.17692307692307693,0.5307692307692308,0.16923076923076924,0.5076923076923077,0.16153846153846155,0.4846153846153846,0.15384615384615385,0.46153846153846145,0.14615384615384616,0.4384615384615385,0.13846153846153847,0.41538461538461535,0.13076923076923078,0.3923076923076923
31,31,0.15,0.07,0.09230769230769231,0.04307692307692308,0.08653846153846152,0.04038461538461539,0.08076923076923076,0.03769230769230769,0.075,0.035,0.08357142857142857,0.03900000000000001,0.09214285714285715,0.043000000000000003,0.10071428571428571,0.04700000000000001,0.10928571428571429,0.05100000000000001,0.11785714285714285,0.05500000000000001,0.12642857142857145,0.05900000000000001,0.135,0.06300000000000001,0.1275,0.059500000000000004,0.135,0.06300000000000001,0.1425,0.0665,0.15,0.07,0.14423076923076922,0.06730769230769232,0.13846153846153847,0.06461538461538463,0.1326923076923077,0.06192307692307693,0.12692307692307692,0.05923076923076923,0.12115384615384615,0.056538461538461544,0.11538461538461536,0.05384615384615385,0.10961538461538463,0.05115384615384616,0.10384615384615384,0.048461538461538466,0.09807692307692308,0.04576923076923078
32,32,0.21,0.1,0.12923076923076923,0.06153846153846154,0.12115384615384614,0.05769230769230769,0.11307692307692306,0.05384615384615385,0.105,0.05,0.11699999999999999,0.055714285714285716,0.129,0.06142857142857144,0.14100000000000001,0.06714285714285716,0.153,0.07285714285714287,0.16499999999999998,0.07857142857142857,0.17700000000000002,0.0842857142857143,0.189,0.09000000000000001,0.1785,0.085,0.189,0.09000000000000001,0.19949999999999998,0.095,0.21,0.1,0.20192307692307693,0.09615384615384616,0.19384615384615386,0.09230769230769231,0.18576923076923074,0.08846153846153847,0.17769230769230768,0.08461538461538462,0.1696153846153846,0.08076923076923077,0.16153846153846152,0.07692307692307693,0.15346153846153848,0.07307692307692308,0.14538461538461536,0.06923076923076923,0.1373076923076923,0.06538461538461539
33,33,0.06,0.04,0.036923076923076927,0.02461538461538462,0.03461538461538461,0.023076923076923075,0.03230769230769231,0.021538461538461538,0.03,0.02,0.033428571428571426,0.022285714285714287,0.03685714285714286,0.024571428571428574,0.040285714285714286,0.02685714285714286,0.04371428571428572,0.029142857142857147,0.04714285714285714,0.03142857142857143,0.05057142857142858,0.03371428571428572,0.054,0.036000000000000004,0.051,0.034,0.054,0.036000000000000004,0.056999999999999995,0.038,0.06,0.04,0.05769230769230769,0.038461538461538464,0.055384615384615386,0.036923076923076927,0.05307692307692307,0.03538461538461538,0.05076923076923077,0.033846153846153845,0.04846153846153846,0.03230769230769231,0.04615384615384615,0.030769230769230767,0.04384615384615385,0.029230769230769234,0.04153846153846154,0.027692307692307693,0.03923076923076923,0.026153846153846156
